Heart rate,Timestamp,Date,Time,
69,1574150412613,"Nov 19, 2019",12:00:12 AM,
67,1574150532259,"Nov 19, 2019",12:02:12 AM,
68,1574150652718,"Nov 19, 2019",12:04:12 AM,
71,1574150772753,"Nov 19, 2019",12:06:12 AM,
68,1574150892391,"Nov 19, 2019",12:08:12 AM,
69,1574151012834,"Nov 19, 2019",12:10:12 AM,
69,1574151132483,"Nov 19, 2019",12:12:12 AM,
65,1574151252070,"Nov 19, 2019",12:14:12 AM,
68,1574151372572,"Nov 19, 2019",12:16:12 AM,
75,1574151492219,"Nov 19, 2019",12:18:12 AM,
71,1574151612260,"Nov 19, 2019",12:20:12 AM,
70,1574151732707,"Nov 19, 2019",12:22:12 AM,
71,1574151851476,"Nov 19, 2019",12:24:11 AM,
68,1574151972792,"Nov 19, 2019",12:26:12 AM,
71,1574152092442,"Nov 19, 2019",12:28:12 AM,
71,1574152212516,"Nov 19, 2019",12:30:12 AM,
71,1574152332527,"Nov 19, 2019",12:32:12 AM,
71,1574152452574,"Nov 19, 2019",12:34:12 AM,
71,1574152572220,"Nov 19, 2019",12:36:12 AM,
70,1574152692661,"Nov 19, 2019",12:38:12 AM,
69,1574152812312,"Nov 19, 2019",12:40:12 AM,
68,1574152932361,"Nov 19, 2019",12:42:12 AM,
65,1574153052396,"Nov 19, 2019",12:44:12 AM,
68,1574153172440,"Nov 19, 2019",12:46:12 AM,
65,1574153292093,"Nov 19, 2019",12:48:12 AM,
68,1574153412539,"Nov 19, 2019",12:50:12 AM,
68,1574153532195,"Nov 19, 2019",12:52:12 AM,
67,1574153652220,"Nov 19, 2019",12:54:12 AM,
65,1574153773021,"Nov 19, 2019",12:56:13 AM,
65,1574153892317,"Nov 19, 2019",12:58:12 AM,
68,1574154012756,"Nov 19, 2019",1:00:12 AM,
68,1574154132397,"Nov 19, 2019",1:02:12 AM,
68,1574154252046,"Nov 19, 2019",1:04:12 AM,
68,1574154372507,"Nov 19, 2019",1:06:12 AM,
69,1574154492533,"Nov 19, 2019",1:08:12 AM,
65,1574154612180,"Nov 19, 2019",1:10:12 AM,
64,1574154732618,"Nov 19, 2019",1:12:12 AM,
68,1574154852267,"Nov 19, 2019",1:14:12 AM,
64,1574154972708,"Nov 19, 2019",1:16:12 AM,
64,1574155091964,"Nov 19, 2019",1:18:11 AM,
70,1574155155567,"Nov 19, 2019",1:19:15 AM,
94,1574155157552,"Nov 19, 2019",1:19:17 AM,
70,1574155212400,"Nov 19, 2019",1:20:12 AM,
65,1574155332845,"Nov 19, 2019",1:22:12 AM,
68,1574155452424,"Nov 19, 2019",1:24:12 AM,
71,1574155572136,"Nov 19, 2019",1:26:12 AM,
70,1574155692577,"Nov 19, 2019",1:28:12 AM,
70,1574155812626,"Nov 19, 2019",1:30:12 AM,
74,1574155932276,"Nov 19, 2019",1:32:12 AM,
75,1574156052714,"Nov 19, 2019",1:34:12 AM,
68,1574156172363,"Nov 19, 2019",1:36:12 AM,
71,1574156292007,"Nov 19, 2019",1:38:12 AM,
73,1574156412449,"Nov 19, 2019",1:40:12 AM,
70,1574156532096,"Nov 19, 2019",1:42:12 AM,
70,1574156652540,"Nov 19, 2019",1:44:12 AM,
69,1574156772586,"Nov 19, 2019",1:46:12 AM,
